epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9429,0.71689,0.91508,16.4098,0.0098,6.70521,0.61322,0.6099,0.62741,0.33649,0.55957,0.64103,0.63227,0.19963,1.54969,8.74872,9.52258,0.0348,0,0.00065,0.00065,0.00065
2,25.3452,1.107,0.57755,8.68422,0.01622,1.94563,0.83843,0.82051,0.85441,0.46807,0.83843,0.82051,0.85441,0.61793,1.86693,1.3968,6.06162,0.03777,0,0.00128408,0.00128408,0.00128408
3,34.8538,1.35595,3.19841,4.20768,0.01943,1.41688,0.02234,0.07692,0.00652,0.00171,0.01851,0.05128,0.01043,0.0023,3.04895,2.50482,6.07867,0.07417,0,0.00188516,0.00188516,0.00188516
4,43.9636,1.49172,1.03707,3.42999,0.02292,1.75033,0.44716,0.66667,0.55122,0.22903,0.46474,0.69231,0.58596,0.25229,1.92094,3.34492,3.23506,0.04196,0,0.0018515,0.0018515,0.0018515
5,53.3414,1.34138,0.54688,2.57567,0.01878,0.64014,0.78703,0.58974,0.7042,0.19487,0.79401,0.5931,0.72201,0.48288,1.96857,0.84113,3.69405,0.04028,0,0.001802,0.001802,0.001802
6,62.3822,1.32058,0.55052,1.89984,0.01905,0.55689,0.80213,0.76923,0.85171,0.53455,0.7457,0.74359,0.83291,0.56396,1.48104,7.5529,1.78208,0.03022,0,0.0017525,0.0017525,0.0017525
7,71.8288,1.63033,0.61217,1.72197,0.02386,0.72425,0.6039,0.38462,0.56546,0.12888,0.6039,0.38462,0.57754,0.25598,2.28809,3.12945,3.10273,0.04131,0,0.001703,0.001703,0.001703
8,81.1536,1.63464,0.49914,1.65382,0.02304,0.48331,0.85952,0.84615,0.90039,0.58554,0.85952,0.84615,0.90076,0.60605,1.3602,0.79355,1.36315,0.03059,0,0.0016535,0.0016535,0.0016535
9,90.2395,1.20981,0.42957,1.20523,0.01728,0.38399,0.99955,0.71795,0.86336,0.36322,0.99955,0.71795,0.8609,0.67282,1.94964,0.59407,1.64077,0.0365,0,0.001604,0.001604,0.001604
10,99.5612,1.08518,0.38862,0.99485,0.01587,0.32702,0.35603,0.61538,0.35493,0.21586,0.93081,0.87179,0.91626,0.50861,1.59099,0.571,2.16056,0.03355,0,0.0015545,0.0015545,0.0015545
11,108.519,1.11147,0.39876,0.82603,0.01528,0.23793,0.90916,0.82051,0.94053,0.69224,0.90916,0.82051,0.94053,0.83341,1.09413,0.36406,0.80309,0.02318,0,0.001505,0.001505,0.001505
12,117.958,1.03732,0.35542,0.77246,0.01404,0.22719,0.78193,0.87179,0.91074,0.64706,0.78193,0.87179,0.91074,0.81418,1.14863,0.43244,0.91163,0.02294,0,0.0014555,0.0014555,0.0014555
13,126.873,0.97815,0.40704,0.78216,0.01377,0.30467,0.94521,0.88482,0.96613,0.6846,0.94521,0.88482,0.96307,0.87925,1.18297,0.58184,0.74065,0.02738,0,0.001406,0.001406,0.001406
14,136.018,0.93243,0.3989,0.73436,0.01297,0.21087,0.94564,0.89221,0.9354,0.74526,0.94564,0.89221,0.9354,0.8524,0.95859,0.6675,0.67931,0.02041,0,0.0013565,0.0013565,0.0013565
15,145.262,0.79495,0.32285,0.55941,0.01135,0.21338,0.95803,0.82051,0.91682,0.60907,0.95803,0.82051,0.91682,0.79877,1.48659,0.62055,0.75953,0.03083,0,0.001307,0.001307,0.001307
16,154.55,0.92927,0.31285,0.53634,0.01338,0.142,0.89225,0.82051,0.89971,0.56181,0.89225,0.82051,0.89971,0.80499,1.60748,0.69752,0.86195,0.03454,0,0.0012575,0.0012575,0.0012575
17,163.893,0.84423,0.32381,0.49657,0.01114,0.1573,0.91952,0.89744,0.92862,0.52893,0.91952,0.89744,0.92628,0.80227,1.66001,0.6294,0.91328,0.03679,0,0.001208,0.001208,0.001208
18,173.123,0.88677,0.32756,0.48346,0.01279,0.1352,0.83925,0.89744,0.88008,0.58879,0.83925,0.89744,0.88008,0.8063,1.27435,0.73459,0.84205,0.02954,0,0.0011585,0.0011585,0.0011585
19,182.32,0.78814,0.31175,0.44464,0.01141,0.19428,0.97193,0.88794,0.93956,0.63897,0.97193,0.88794,0.93333,0.84991,1.26223,0.9642,0.69782,0.02804,0,0.001109,0.001109,0.001109
20,191.376,0.74547,0.3285,0.42866,0.00956,0.17432,0.92225,0.91257,0.96361,0.68697,0.92225,0.91257,0.95658,0.90683,1.07519,0.76218,0.53047,0.02089,0,0.0010595,0.0010595,0.0010595
21,200.771,0.76425,0.31118,0.44023,0.00947,0.1528,0.9732,0.9311,0.96774,0.73161,0.9732,0.9311,0.96229,0.87192,0.9556,0.81351,0.38146,0.01822,0,0.00101,0.00101,0.00101
