frame,time_seconds,gaze_x,gaze_y,paper_distance_pixels,assembly_distance_pixels,raw_state,paper_present,assembly_object_count,filtered_state
0,0.0,685,659,0.0,inf,instruction,1,0,instruction
1,0.1,684,653,0.0,inf,instruction,1,0,instruction
2,0.2,667,649,5.728140793805996,inf,instruction,1,0,instruction
3,0.3,604,690,0.0,inf,instruction,1,0,instruction
4,0.4,587,693,0.0,inf,instruction,1,0,instruction
5,0.5,581,700,0.24611377988908478,inf,instruction,1,0,instruction
6,0.6,579,702,13.417175040029898,inf,instruction,1,0,instruction
7,0.7,584,703,23.01559892049057,inf,instruction,1,0,instruction
8,0.8,583,705,26.890382099088303,inf,instruction,1,0,instruction
9,0.9,459,520,0.0,inf,instruction,1,0,instruction
10,1.0,458,469,0.0,inf,instruction,1,0,instruction
11,1.1,456,468,0.0,inf,instruction,1,0,instruction
12,1.2,446,472,0.0,inf,instruction,1,0,instruction
13,1.3,0,0,nan,nan,invalid,1,0,invalid
14,1.4,0,0,nan,nan,invalid,1,0,invalid
15,1.5,0,0,nan,nan,invalid,1,0,invalid
16,1.6,0,0,nan,nan,invalid,1,1,invalid
17,1.7,754,553,546.8500708603776,0.0,assembly,1,1,assembly
18,1.8,775,552,550.112715722878,0.0,assembly,1,1,assembly
19,1.9,0,0,nan,nan,invalid,1,1,invalid
20,2.0,180,588,0.0,864.5258816252987,instruction,1,1,instruction
21,2.1,0,0,nan,nan,invalid,1,1,invalid
22,2.2,457,536,0.0,766.627027960794,instruction,1,1,instruction
23,2.3,399,587,0.0,854.5671418911448,instruction,1,1,instruction
24,2.4,416,583,0.0,inf,instruction,1,0,instruction
25,2.5,467,581,0.0,inf,instruction,1,0,instruction
26,2.6,485,577,0.0,inf,instruction,1,0,instruction
27,2.7,501,571,0.0,inf,instruction,1,0,instruction
28,2.8,525,566,0.0,inf,instruction,1,0,instruction
29,2.9,557,563,0.0,inf,instruction,1,0,instruction
30,3.0,562,562,0.0,inf,instruction,1,0,instruction
31,3.1,559,558,0.0,inf,instruction,1,0,instruction
32,3.2,565,553,0.0,inf,instruction,1,0,instruction
33,3.3,568,552,0.0,inf,instruction,1,0,instruction
34,3.4,556,556,0.0,inf,instruction,1,0,instruction
35,3.5,544,552,0.0,inf,instruction,1,0,instruction
36,3.6,547,552,0.0,inf,instruction,1,0,instruction
37,3.7,548,551,0.0,inf,instruction,1,0,instruction
38,3.8,563,556,0.0,inf,instruction,1,0,instruction
39,3.9,583,566,0.0,inf,instruction,1,0,instruction
40,4.0,585,568,0.0,inf,instruction,1,0,instruction
41,4.1,580,568,0.0,inf,instruction,1,0,instruction
42,4.2,572,569,0.0,inf,instruction,1,0,instruction
43,4.3,565,570,0.0,inf,instruction,1,0,instruction
44,4.4,876,475,217.58065794058103,inf,elsewhere,1,0,instruction
45,4.5,1131,520,683.404711719198,0.0,assembly,1,1,assembly
46,4.6,910,472,655.8239092927308,0.0,assembly,1,1,assembly
47,4.7,756,440,611.6870114691009,0.0,assembly,1,1,assembly
48,4.8,803,341,702.0840405535508,99.95480863304115,elsewhere,1,1,assembly
49,4.9,785,321,702.7289662451662,107.08512821647336,elsewhere,1,1,assembly
50,5.0,659,353,572.8001396647875,0.0,assembly,1,1,assembly
51,5.1,673,357,573.0488635360863,0.0,assembly,1,1,assembly
52,5.2,0,0,nan,nan,invalid,1,1,invalid
53,5.3,-4,526,nan,nan,invalid,1,1,invalid
54,5.4,58,500,0.0,745.8592360492695,instruction,1,1,instruction
55,5.5,0,0,nan,nan,invalid,1,1,invalid
